H	K	L	2THETA	D-VALUE	MULT	INTENSITY
0	0	1	12.14	7.2907	2	1000.0
1	-1	0	19.30	4.5995	2	125.9
1	0	0	19.30	4.5995	2	125.9
0	1	0	19.30	4.5995	2	125.9
0	1	-1	22.86	3.8901	2	86.0
1	0	-1	22.86	3.8901	2	86.0
1	-1	1	22.86	3.8901	2	86.0
1	-1	-1	22.86	3.8901	2	86.0
0	1	1	22.86	3.8901	2	86.0
1	0	1	22.86	3.8901	2	86.0
0	0	2	24.42	3.6454	2	552.2
0	1	-2	31.31	2.8569	2	26.2
1	-1	2	31.31	2.8569	2	26.2
1	0	-2	31.31	2.8569	2	26.2
1	-1	-2	31.31	2.8569	2	26.2
0	1	2	31.31	2.8569	2	26.2
1	0	2	31.31	2.8569	2	26.2
2	-1	0	33.75	2.6556	2	16.1
1	-2	0	33.75	2.6556	2	16.1
1	1	0	33.75	2.6556	2	16.1
1	1	-1	35.99	2.4952	2	286.5
2	-1	1	35.99	2.4952	2	286.5
2	-1	-1	35.99	2.4952	2	39.1
1	-2	-1	35.99	2.4952	2	286.5
1	-2	1	35.99	2.4952	2	39.1
1	1	1	35.99	2.4952	2	39.1
0	0	3	36.99	2.4302	2	37.0
2	-2	0	39.17	2.2998	2	2.9
0	2	0	39.17	2.2998	2	2.9
2	0	0	39.17	2.2998	2	2.9
2	-2	-1	41.16	2.1932	2	5.7
2	-2	1	41.16	2.1932	2	5.7
2	0	-1	41.16	2.1932	2	5.7
0	2	-1	41.16	2.1932	2	5.7
0	2	1	41.16	2.1932	2	5.7
2	0	1	41.16	2.1932	2	5.7
1	0	-3	42.05	2.1487	2	6.9
0	1	-3	42.05	2.1487	2	6.9
1	-1	3	42.05	2.1487	2	6.9
1	0	3	42.05	2.1487	2	6.9
0	1	3	42.05	2.1487	2	6.9
1	-1	-3	42.05	2.1487	2	6.9
2	-1	-2	42.10	2.1464	2	24.7
1	-2	2	42.10	2.1464	2	24.7
1	1	-2	42.10	2.1464	2	138.3
1	-2	-2	42.10	2.1464	2	138.3
2	-1	2	42.10	2.1464	2	138.3
1	1	2	42.10	2.1464	2	24.7
0	2	-2	46.70	1.9450	2	8.2
2	0	-2	46.70	1.9450	2	8.2
2	-2	-2	46.70	1.9450	2	8.2
2	-2	2	46.70	1.9450	2	8.2
0	2	2	46.70	1.9450	2	8.2
2	0	2	46.70	1.9450	2	8.2
0	0	4	50.04	1.8227	2	20.1
1	-2	3	50.93	1.7928	2	9.5
2	-1	-3	50.93	1.7928	2	9.5
2	-1	3	50.93	1.7928	2	96.5
1	1	-3	50.93	1.7928	2	96.5
1	1	3	50.93	1.7928	2	9.5
1	-2	-3	50.93	1.7928	2	96.5
3	-1	0	52.65	1.7385	2	6.8
1	-3	0	52.65	1.7385	2	6.8
3	-2	0	52.65	1.7385	2	6.8
2	-3	0	52.65	1.7385	2	6.8
2	1	0	52.65	1.7385	2	6.8
1	2	0	52.65	1.7385	2	6.8
1	0	-4	54.12	1.6945	2	2.1
0	1	-4	54.12	1.6945	2	2.1
1	-1	4	54.12	1.6945	2	2.1
1	-1	-4	54.12	1.6945	2	2.1
0	1	4	54.12	1.6945	2	2.1
1	0	4	54.12	1.6945	2	2.1
3	-1	-1	54.24	1.6911	2	5.9
3	-1	1	54.24	1.6911	2	5.6
1	-3	1	54.24	1.6911	2	5.9
1	-3	-1	54.24	1.6911	2	5.6
3	-2	1	54.24	1.6911	2	5.6
3	-2	-1	54.24	1.6911	2	5.9
2	-3	1	54.24	1.6911	2	5.9
2	-3	-1	54.24	1.6911	2	5.6
1	2	1	54.24	1.6911	2	5.9
1	2	-1	54.24	1.6911	2	5.6
2	1	1	54.24	1.6911	2	5.9
2	1	-1	54.24	1.6911	2	5.6
2	0	-3	54.97	1.6704	2	7.8
0	2	-3	54.97	1.6704	2	7.8
2	-2	-3	54.97	1.6704	2	7.8
2	-2	3	54.97	1.6704	2	7.8
2	0	3	54.97	1.6704	2	7.8
0	2	3	54.97	1.6704	2	7.8
1	-3	2	58.85	1.5692	2	3.2
3	-1	2	58.85	1.5692	2	4.2
1	-3	-2	58.85	1.5692	2	4.2
3	-1	-2	58.85	1.5692	2	3.2
2	-3	-2	58.85	1.5692	2	4.2
2	-3	2	58.85	1.5692	2	3.2
1	2	-2	58.85	1.5692	2	4.2
3	-2	2	58.85	1.5692	2	4.2
3	-2	-2	58.85	1.5692	2	3.2
2	1	-2	58.85	1.5692	2	4.2
2	1	2	58.85	1.5692	2	3.2
1	2	2	58.85	1.5692	2	3.2
3	-3	0	60.37	1.5332	2	95.4
0	3	0	60.37	1.5332	2	95.4
3	0	0	60.37	1.5332	2	95.4
1	-2	4	61.73	1.5028	2	66.5
2	-1	-4	61.73	1.5028	2	66.5
1	1	-4	61.73	1.5028	2	33.4
2	-1	4	61.73	1.5028	2	33.4
1	1	4	61.73	1.5028	2	66.5
1	-2	-4	61.73	1.5028	2	33.4
3	-3	-1	61.84	1.5004	2	23.6
3	-3	1	61.84	1.5004	2	23.6
3	0	-1	61.84	1.5004	2	23.6
3	0	1	61.84	1.5004	2	23.6
0	3	1	61.84	1.5004	2	23.6
0	3	-1	61.84	1.5004	2	23.6
0	0	5	63.83	1.4581	2	21.2
0	2	-4	65.32	1.4284	2	5.6
2	0	-4	65.32	1.4284	2	5.6
2	-2	4	65.32	1.4284	2	5.6
2	-2	-4	65.32	1.4284	2	5.6
2	0	4	65.32	1.4284	2	5.6
0	2	4	65.32	1.4284	2	5.6
3	-1	-3	66.08	1.4139	2	1.7
2	-3	3	66.08	1.4139	2	1.7
1	-3	3	66.08	1.4139	2	1.7
3	-2	-3	66.08	1.4139	2	1.7
2	1	-3	66.08	1.4139	2	1.5
1	2	-3	66.08	1.4139	2	1.5
1	-3	-3	66.08	1.4139	2	1.5
2	-3	-3	66.08	1.4139	2	1.5
1	2	3	66.08	1.4139	2	1.7
2	1	3	66.08	1.4139	2	1.7
3	-2	3	66.08	1.4139	2	1.5
3	-1	3	66.08	1.4139	2	1.5
3	-3	2	66.11	1.4133	2	8.9
3	-3	-2	66.11	1.4133	2	8.9
3	0	2	66.11	1.4133	2	8.9
