H	K	L	2THETA	D-VALUE	MULT	INTENSITY
0	0	1	12.47	7.0995	2	1000.0
0	2	0	18.62	4.7645	2	51.7
1	-1	0	19.08	4.6505	2	52.0
1	1	0	19.08	4.6505	2	52.0
1	-1	-1	20.42	4.3500	2	45.3
1	1	-1	20.42	4.3500	2	45.3
0	2	1	22.47	3.9561	2	34.4
0	2	-1	22.47	3.9561	2	34.4
1	-1	1	25.08	3.5509	2	25.1
1	1	1	25.08	3.5509	2	25.1
0	0	2	25.09	3.5497	2	550.0
1	1	-2	28.09	3.1760	2	17.9
1	-1	-2	28.09	3.1760	2	17.9
0	2	-2	31.43	2.8465	2	11.4
0	2	2	31.43	2.8465	2	11.4
2	0	-1	32.82	2.7290	2	192.4
1	-3	0	32.83	2.7283	2	190.0
1	3	0	32.83	2.7283	2	190.0
2	0	0	33.64	2.6641	2	1.4
1	-3	-1	33.65	2.6636	2	1.4
1	3	-1	33.65	2.6636	2	1.4
1	-1	2	34.99	2.5644	2	7.8
1	1	2	34.99	2.5644	2	7.8
2	0	-2	36.76	2.4446	2	237.9
1	3	1	36.77	2.4440	2	238.8
1	-3	1	36.77	2.4440	2	238.8
0	4	0	37.76	2.3822	2	0.0
2	-2	-1	38.00	2.3681	2	0.1
2	2	-1	38.00	2.3681	2	0.1
0	0	3	38.02	2.3665	2	38.4
2	-2	0	38.72	2.3253	2	0.4
2	2	0	38.72	2.3253	2	0.4
1	1	-3	38.74	2.3243	2	6.0
1	-1	-3	38.74	2.3243	2	6.0
2	0	1	38.97	2.3112	2	92.2
1	3	-2	38.97	2.3110	2	92.2
1	-3	-2	38.97	2.3110	2	92.2
0	4	-1	39.92	2.2585	2	1.0
0	4	1	39.92	2.2585	2	1.0
2	-2	-2	41.52	2.1750	2	1.5
2	2	-2	41.52	2.1750	2	1.5
0	2	-3	42.66	2.1194	2	4.9
0	2	3	42.66	2.1194	2	4.9
2	-2	1	43.52	2.0795	2	1.7
2	2	1	43.52	2.0795	2	1.7
2	0	-3	44.38	2.0409	2	108.2
1	-3	2	44.39	2.0405	2	107.7
1	3	2	44.39	2.0405	2	107.7
0	4	2	45.87	1.9781	2	2.1
0	4	-2	45.87	1.9781	2	2.1
1	-1	3	46.72	1.9444	2	3.0
1	1	3	46.72	1.9444	2	3.0
2	0	2	47.52	1.9132	2	27.7
1	3	-3	47.52	1.9132	2	27.7
1	-3	-3	47.53	1.9132	2	27.7
2	-2	-3	48.52	1.8761	2	2.6
2	2	-3	48.52	1.8761	2	2.6
3	1	-1	50.68	1.8014	2	3.6
3	-1	-1	50.68	1.8014	2	3.6
2	-4	-1	50.88	1.7946	2	3.1
2	4	-1	50.88	1.7946	2	3.1
1	-5	0	50.88	1.7944	2	2.9
1	5	0	50.88	1.7944	2	2.9
1	1	-4	50.90	1.7939	2	1.5
1	-1	-4	50.90	1.7939	2	1.5
2	-4	0	51.46	1.7758	2	2.7
2	4	0	51.46	1.7758	2	2.7
1	-5	-1	51.46	1.7757	2	2.5
1	5	-1	51.46	1.7757	2	2.5
2	-2	2	51.47	1.7754	2	2.7
2	2	2	51.47	1.7754	2	2.7
0	0	4	51.49	1.7749	2	16.4
3	1	-2	52.40	1.7461	2	2.5
3	-1	-2	52.40	1.7461	2	2.5
3	-1	0	52.40	1.7460	2	3.1
3	1	0	52.40	1.7460	2	3.1
2	-4	-2	53.72	1.7061	2	4.1
2	4	-2	53.72	1.7061	2	4.1
1	-5	1	53.73	1.7059	2	1.7
1	5	1	53.73	1.7059	2	1.7
2	0	-4	54.48	1.6843	2	80.5
1	-3	3	54.49	1.6841	2	81.0
1	3	3	54.49	1.6841	2	81.0
0	4	-3	54.67	1.6789	2	2.2
0	4	3	54.67	1.6789	2	2.2
0	2	4	55.23	1.6632	2	0.8
0	2	-4	55.23	1.6632	2	0.8
2	-4	1	55.39	1.6588	2	0.9
2	4	1	55.39	1.6588	2	0.9
1	5	-2	55.39	1.6587	2	3.9
1	-5	-2	55.39	1.6587	2	3.9
3	-1	-3	57.36	1.6064	2	0.6
3	1	-3	57.36	1.6064	2	0.6
3	1	1	57.36	1.6063	2	2.9
3	-1	1	57.36	1.6063	2	2.9
3	-3	-1	58.06	1.5885	2	102.9
3	3	-1	58.06	1.5885	2	102.9
0	6	0	58.08	1.5882	2	103.0
2	2	-4	58.08	1.5880	2	1.7
2	-2	-4	58.08	1.5880	2	1.7
2	0	3	58.27	1.5834	2	60.3
1	3	-4	58.27	1.5834	2	60.4
1	-3	-4	58.27	1.5834	2	60.4
3	-3	-2	59.64	1.5502	2	22.3
