H	K	L	2THETA	D-VALUE	MULT	INTENSITY
2	-4	-2	53.95	1.6996	2	0.1
2	4	-2	53.95	1.6996	2	0.1
3	-1	-2	53.98	1.6986	2	0.2
3	1	-2	53.98	1.6986	2	0.2
1	5	-2	54.05	1.6966	2	0.1
1	-5	-2	54.05	1.6966	2	0.1
0	2	8	54.09	1.6954	2	0.0
0	2	-8	54.09	1.6954	2	0.0
2	0	-7	54.21	1.6919	2	1.7
3	-1	1	54.22	1.6918	2	0.1
3	1	1	54.22	1.6918	2	0.1
1	5	2	54.68	1.6786	2	0.3
1	-5	2	54.68	1.6786	2	0.3
0	4	-6	54.98	1.6701	2	0.1
0	4	6	54.98	1.6701	2	0.1
1	-3	-7	55.10	1.6668	2	0.0
1	3	-7	55.10	1.6668	2	0.0
2	-4	2	55.20	1.6640	2	0.1
2	4	2	55.20	1.6640	2	0.1
1	-1	8	55.41	1.6581	2	0.4
1	1	8	55.41	1.6581	2	0.4
3	1	-3	55.47	1.6564	2	0.0
3	-1	-3	55.47	1.6564	2	0.0
2	-4	-3	55.59	1.6532	2	0.3
2	4	-3	55.59	1.6532	2	0.3
1	5	-3	55.85	1.6462	2	0.2
1	-5	-3	55.85	1.6462	2	0.2
3	-1	2	55.85	1.6460	2	0.2
3	1	2	55.85	1.6460	2	0.2
1	5	3	56.77	1.6217	2	0.4
1	-5	3	56.77	1.6217	2	0.4
0	0	9	56.78	1.6214	2	0.1
2	-2	6	57.10	1.6130	2	0.5
2	2	6	57.10	1.6130	2	0.5
1	-3	7	57.25	1.6092	2	1.6
1	3	7	57.25	1.6092	2	1.6
2	-4	3	57.43	1.6046	2	0.0
2	4	3	57.43	1.6046	2	0.0
3	-1	-4	57.70	1.5978	2	0.1
3	1	-4	57.70	1.5978	2	0.1
2	-4	-4	57.96	1.5910	2	0.2
2	4	-4	57.96	1.5910	2	0.2
2	2	-7	58.10	1.5877	2	0.1
2	-2	-7	58.10	1.5877	2	0.1
3	-1	3	58.22	1.5847	2	0.2
3	1	3	58.22	1.5847	2	0.2
1	5	-4	58.36	1.5811	2	0.3
1	-5	-4	58.36	1.5811	2	0.3
2	0	7	58.50	1.5777	2	0.0
1	1	-9	59.29	1.5584	2	0.4
1	-1	-9	59.29	1.5584	2	0.4
1	5	4	59.55	1.5523	2	0.2
1	-5	4	59.55	1.5523	2	0.2
2	0	-8	59.63	1.5504	2	0.8
0	4	-7	59.91	1.5438	2	0.3
0	4	7	59.91	1.5438	2	0.3
2	-4	4	60.34	1.5339	2	0.1
2	4	4	60.34	1.5339	2	0.1
0	6	0	60.44	1.5317	2	1.9
0	2	-9	60.56	1.5290	2	0.0
0	2	9	60.56	1.5290	2	0.0
3	1	-5	60.60	1.5279	2	0.2
3	-1	-5	60.60	1.5279	2	0.2
1	3	-8	60.61	1.5277	2	0.5
1	-3	-8	60.61	1.5277	2	0.5
0	6	-1	60.81	1.5233	2	1.4
0	6	1	60.81	1.5233	2	1.4
3	-3	-1	60.95	1.5199	2	1.0
3	3	-1	60.95	1.5199	2	1.0
2	-4	-5	61.01	1.5187	2	0.0
2	4	-5	61.01	1.5187	2	0.0
3	-3	0	61.03	1.5183	2	1.7
3	3	0	61.03	1.5183	2	1.7
3	1	4	61.25	1.5133	2	0.1
3	-1	4	61.25	1.5133	2	0.1
1	5	-5	61.54	1.5069	2	0.3
1	-5	-5	61.54	1.5069	2	0.3
3	-3	-2	61.61	1.5053	2	0.3
3	3	-2	61.61	1.5053	2	0.3
3	-3	1	61.83	1.5006	2	1.5
3	3	1	61.83	1.5006	2	1.5
0	6	-2	61.90	1.4990	2	0.5
