H	K	L	2THETA	D-VALUE	MULT	INTENSITY
0	0	3	12.50	7.0833	2	1000.0
0	0	6	25.14	3.5417	2	737.7
1	-1	-1	33.00	2.7142	2	185.7
0	1	-1	33.00	2.7142	2	185.7
1	0	1	33.00	2.7142	2	185.7
1	0	-2	33.82	2.6501	2	11.2
1	-1	2	33.82	2.6501	2	11.2
0	1	2	33.82	2.6501	2	11.2
0	1	-4	36.95	2.4328	2	323.5
1	-1	-4	36.95	2.4328	2	323.5
1	0	4	36.95	2.4328	2	323.5
0	0	9	38.11	2.3611	2	29.9
1	0	-5	39.15	2.3009	2	90.3
1	-1	5	39.15	2.3009	2	90.3
0	1	5	39.15	2.3009	2	90.3
0	1	-7	44.58	2.0326	2	76.4
1	0	7	44.58	2.0326	2	76.4
1	-1	-7	44.58	2.0326	2	76.4
1	0	-8	47.71	1.9060	2	20.2
1	-1	8	47.71	1.9060	2	20.2
0	1	8	47.71	1.9060	2	20.2
0	0	12	51.61	1.7708	2	17.8
1	0	10	54.68	1.6784	2	110.7
1	-2	0	58.41	1.5800	2	97.6
2	-1	0	58.41	1.5800	2	97.6
1	1	0	58.41	1.5800	2	97.6
1	-1	11	58.48	1.5782	2	56.0
0	1	11	58.48	1.5782	2	56.0
1	-2	-3	59.99	1.5421	2	23.2
2	-1	3	59.99	1.5421	2	23.2
1	-2	3	59.99	1.5421	2	23.2
2	-1	-3	59.99	1.5421	2	23.2
1	1	3	59.99	1.5421	2	23.2
1	1	-3	59.99	1.5421	2	23.2
1	-2	6	64.59	1.4429	2	20.5
2	-1	-6	64.59	1.4429	2	20.5
1	1	-6	64.59	1.4429	2	20.5
2	-1	6	64.59	1.4429	2	20.5
1	-2	-6	64.59	1.4429	2	20.5
1	1	6	64.59	1.4429	2	20.5
0	0	15	65.94	1.4167	2	24.1
1	0	13	66.64	1.4033	2	4.2
2	-2	1	68.74	1.3655	2	26.1
2	0	-1	68.74	1.3655	2	26.1
0	2	1	68.74	1.3655	2	26.1
2	-2	-2	69.23	1.3571	2	4.2
2	0	2	69.23	1.3571	2	4.2
0	2	-2	69.23	1.3571	2	4.2
1	-1	14	71.01	1.3274	2	40.6
0	1	14	71.01	1.3274	2	40.6
0	2	4	71.15	1.3251	2	29.6
2	-2	4	71.15	1.3251	2	29.6
2	0	-4	71.15	1.3251	2	29.6
1	-2	9	71.90	1.3131	2	9.3
2	-1	-9	71.90	1.3131	2	9.3
1	1	-9	71.90	1.3131	2	9.3
2	-1	9	71.90	1.3131	2	9.3
1	-2	-9	71.90	1.3131	2	9.3
1	1	9	71.90	1.3131	2	9.3
2	-2	-5	72.58	1.3025	2	17.7
2	0	5	72.58	1.3025	2	17.7
0	2	-5	72.58	1.3025	2	17.7
2	-2	7	76.34	1.2475	2	12.8
2	0	-7	76.34	1.2475	2	12.8
0	2	7	76.34	1.2475	2	12.8
0	2	-8	78.65	1.2164	2	0.9
2	-2	-8	78.65	1.2164	2	0.9
2	0	8	78.65	1.2164	2	0.9
1	0	16	80.36	1.1948	2	10.0
0	0	18	81.54	1.1806	2	8.9
2	-1	12	81.67	1.1789	2	1.6
1	-2	12	81.67	1.1789	2	1.6
1	1	12	81.67	1.1789	2	1.6
2	-2	10	84.15	1.1504	2	20.5
0	2	10	84.15	1.1504	2	20.5
1	-1	17	85.38	1.1370	2	3.5
0	1	17	85.38	1.1370	2	3.5
2	0	11	87.32	1.1166	2	15.6
1	-2	15	93.92	1.0548	2	11.8
2	-1	15	93.92	1.0548	2	11.8
1	1	15	93.92	1.0548	2	11.8
2	-2	13	94.57	1.0492	2	1.1
0	2	13	94.57	1.0492	2	1.1
1	0	19	96.25	1.0353	2	3.9
1	-3	1	96.52	1.0331	2	5.8
2	1	1	96.52	1.0331	2	5.8
3	-2	-1	96.52	1.0331	2	5.8
2	-3	-1	96.52	1.0331	2	5.8
3	-1	1	96.52	1.0331	2	5.8
1	2	-1	96.52	1.0331	2	5.8
1	2	2	96.98	1.0295	2	0.5
2	1	-2	96.98	1.0295	2	0.5
3	-1	-2	96.98	1.0295	2	0.5
3	-2	2	96.98	1.0295	2	0.5
1	-3	-2	96.98	1.0295	2	0.5
2	-3	2	96.98	1.0295	2	0.5
2	0	14	98.67	1.0163	2	10.0
2	1	4	98.80	1.0153	2	10.5
3	-2	-4	98.80	1.0153	2	10.5
2	-3	-4	98.80	1.0153	2	10.5
1	2	-4	98.80	1.0153	2	10.5
3	-1	4	98.80	1.0153	2	10.5
1	-3	4	98.80	1.0153	2	10.5
0	0	21	99.25	1.0119	2	7.5
