H	K	L	2THETA	D-VALUE	MULT	INTENSITY
1	-1	0	7.70	11.4783	2	5.1
1	1	0	7.70	11.4783	2	5.1
0	2	0	9.56	9.2500	2	0.3
2	0	0	12.09	7.3181	2	85.1
2	-2	0	15.44	5.7392	2	8.4
2	2	0	15.44	5.7392	2	8.4
1	-3	0	15.59	5.6829	2	9.2
1	3	0	15.59	5.6829	2	9.2
0	0	1	16.66	5.3213	2	1000.0
1	1	-1	18.06	4.9123	2	1.8
1	-1	-1	18.06	4.9123	2	1.8
1	-1	1	18.69	4.7474	2	1.7
1	1	1	18.69	4.7474	2	1.7
3	1	0	18.81	4.7174	2	2.5
3	-1	0	18.81	4.7174	2	2.5
0	4	0	19.19	4.6250	2	11.7
0	2	-1	19.24	4.6125	2	0.0
0	2	1	19.24	4.6125	2	0.0
2	0	-1	20.06	4.4255	2	36.7
2	0	1	21.20	4.1916	2	31.8
2	2	-1	22.27	3.9922	2	3.1
2	-2	-1	22.27	3.9922	2	3.1
1	3	-1	22.64	3.9279	2	0.0
1	-3	-1	22.64	3.9279	2	0.0
2	4	0	22.74	3.9096	2	1.1
2	-4	0	22.74	3.9096	2	1.1
1	-3	1	23.15	3.8420	2	0.0
1	3	1	23.15	3.8420	2	0.0
3	3	0	23.25	3.8261	2	1.2
3	-3	0	23.25	3.8261	2	1.2
2	2	1	23.30	3.8179	2	2.7
2	-2	1	23.30	3.8179	2	2.7
4	0	0	24.32	3.6590	2	45.0
3	1	-1	24.52	3.6308	2	2.9
3	-1	-1	24.52	3.6308	2	2.9
1	-5	0	24.82	3.5872	2	2.3
1	5	0	24.82	3.5872	2	2.3
0	4	-1	25.52	3.4908	2	0.0
0	4	1	25.52	3.4908	2	0.0
3	1	1	25.92	3.4372	2	2.5
3	-1	1	25.92	3.4372	2	2.5
4	2	0	26.19	3.4025	2	0.8
4	-2	0	26.19	3.4025	2	0.8
2	4	-1	27.90	3.1975	2	2.1
2	-4	-1	27.90	3.1975	2	2.1
3	-3	-1	28.11	3.1745	2	0.1
3	3	-1	28.11	3.1745	2	0.1
2	-4	1	28.74	3.1058	2	2.0
2	4	1	28.74	3.1058	2	2.0
4	0	-1	28.81	3.0987	2	12.9
0	6	0	28.96	3.0833	2	0.1
3	-3	1	29.35	3.0426	2	0.1
3	3	1	29.35	3.0426	2	0.1
1	5	-1	29.84	2.9939	2	0.1
1	-5	-1	29.84	2.9939	2	0.1
1	-5	1	30.24	2.9553	2	0.1
1	5	1	30.24	2.9553	2	0.1
3	-5	0	30.32	2.9481	2	0.9
3	5	0	30.32	2.9481	2	0.9
4	2	-1	30.42	2.9382	2	0.7
4	-2	-1	30.42	2.9382	2	0.7
4	0	1	30.43	2.9378	2	10.9
5	1	0	30.93	2.8913	2	10.9
5	-1	0	30.93	2.8913	2	10.9
4	-4	0	31.17	2.8696	2	7.8
4	4	0	31.17	2.8696	2	7.8
2	-6	0	31.48	2.8414	2	1.0
2	6	0	31.48	2.8414	2	1.0
4	2	1	31.96	2.8000	2	0.6
4	-2	1	31.96	2.8000	2	0.6
0	6	1	33.59	2.6678	2	0.0
0	6	-1	33.59	2.6678	2	0.0
0	0	2	33.68	2.6607	2	182.5
5	-3	0	33.90	2.6444	2	2.7
5	3	0	33.90	2.6444	2	2.7
1	1	-2	34.25	2.6178	2	0.1
1	-1	-2	34.25	2.6178	2	0.1
3	-5	-1	34.26	2.6173	2	0.2
3	5	-1	34.26	2.6173	2	0.2
5	1	-1	34.46	2.6027	2	3.1
5	-1	-1	34.46	2.6027	2	3.1
1	-7	0	34.48	2.6008	2	0.8
1	7	0	34.48	2.6008	2	0.8
4	-4	-1	34.85	2.5743	2	1.3
4	4	-1	34.85	2.5743	2	1.3
1	1	2	34.96	2.5668	2	0.1
1	-1	2	34.96	2.5668	2	0.1
0	2	-2	35.09	2.5570	2	0.0
0	2	2	35.09	2.5570	2	0.0
2	0	-2	35.23	2.5476	2	5.0
3	-5	1	35.31	2.5419	2	0.2
3	5	1	35.31	2.5419	2	0.2
2	-6	-1	35.48	2.5299	2	0.8
2	6	-1	35.48	2.5299	2	0.8
2	6	1	36.16	2.4837	2	0.8
2	-6	1	36.16	2.4837	2	0.8
5	1	1	36.18	2.4825	2	2.7
5	-1	1	36.18	2.4825	2	2.7
4	-4	1	36.22	2.4798	2	1.2
4	4	1	36.22	2.4798	2	1.2
2	2	-2	36.58	2.4562	2	0.8
2	-2	-2	36.58	2.4562	2	0.8
2	0	2	36.59	2.4559	2	4.5
6	0	0	36.85	2.4394	2	4.2
1	3	-2	36.99	2.4304	2	0.8
1	-3	-2	36.99	2.4304	2	0.8
5	3	-1	37.18	2.4183	2	0.1
5	-3	-1	37.18	2.4183	2	0.1
1	3	2	37.64	2.3894	2	0.7
1	-3	2	37.64	2.3894	2	0.7
3	1	-2	37.89	2.3742	2	0.4
3	-1	-2	37.89	2.3742	2	0.4
2	2	2	37.90	2.3737	2	0.7
