H	K	L	2THETA	D-VALUE	MULT	INTENSITY
0	0	1	12.48	7.0900	2	1000.0
1	-1	0	18.65	4.7588	2	60.0
1	0	0	18.65	4.7588	2	60.0
0	1	0	18.65	4.7588	2	60.0
0	1	-1	22.50	3.9513	2	34.8
1	0	-1	22.50	3.9513	2	34.8
1	-1	1	22.50	3.9513	2	34.8
1	-1	-1	22.50	3.9513	2	34.8
0	1	1	22.50	3.9513	2	34.8
1	0	1	22.50	3.9513	2	34.8
0	0	2	25.12	3.5450	2	555.3
0	1	-2	31.47	2.8429	2	12.7
1	-1	2	31.47	2.8429	2	12.7
1	0	-2	31.47	2.8429	2	12.7
1	-1	-2	31.47	2.8429	2	12.7
0	1	2	31.47	2.8429	2	12.7
1	0	2	31.47	2.8429	2	12.7
2	-1	0	32.59	2.7475	2	34.4
1	-2	0	32.59	2.7475	2	34.4
1	1	0	32.59	2.7475	2	34.4
2	-1	-1	35.02	2.5619	2	360.8
1	-2	1	35.02	2.5619	2	360.8
1	1	-1	35.02	2.5619	2	36.5
1	-2	-1	35.02	2.5619	2	36.5
2	-1	1	35.02	2.5619	2	36.5
1	1	1	35.02	2.5619	2	360.8
2	-2	0	37.81	2.3794	2	0.2
2	0	0	37.81	2.3794	2	0.2
0	2	0	37.81	2.3794	2	0.2
0	0	3	38.08	2.3633	2	39.0
2	-2	-1	39.97	2.2558	2	0.8
2	-2	1	39.97	2.2558	2	0.8
2	0	-1	39.97	2.2558	2	0.8
0	2	-1	39.97	2.2558	2	0.8
0	2	1	39.97	2.2558	2	0.8
2	0	1	39.97	2.2558	2	0.8
1	-2	2	41.59	2.1716	2	103.6
2	-1	-2	41.59	2.1716	2	103.6
1	1	-2	41.59	2.1716	2	56.0
2	-1	2	41.59	2.1716	2	56.0
1	1	2	41.59	2.1716	2	103.6
1	-2	-2	41.59	2.1716	2	56.0
1	0	-3	42.72	2.1167	2	4.0
0	1	-3	42.72	2.1167	2	4.0
1	0	3	42.72	2.1167	2	4.0
1	-1	3	42.72	2.1167	2	4.0
0	1	3	42.72	2.1167	2	4.0
1	-1	-3	42.72	2.1167	2	4.0
2	0	-2	45.93	1.9756	2	2.3
0	2	-2	45.93	1.9756	2	2.3
2	-2	-2	45.93	1.9756	2	2.3
2	-2	2	45.93	1.9756	2	2.3
0	2	2	45.93	1.9756	2	2.3
2	0	2	45.93	1.9756	2	2.3
1	-3	0	50.76	1.7987	2	3.1
2	-3	0	50.76	1.7987	2	3.1
3	-1	0	50.76	1.7987	2	3.1
3	-2	0	50.76	1.7987	2	3.1
1	2	0	50.76	1.7987	2	3.1
2	1	0	50.76	1.7987	2	3.1
1	-2	3	50.97	1.7917	2	118.5
2	-1	-3	50.97	1.7917	2	118.5
2	-1	3	50.97	1.7917	2	24.9
1	1	-3	50.97	1.7917	2	24.9
1	1	3	50.97	1.7917	2	118.5
1	-2	-3	50.97	1.7917	2	24.9
0	0	4	51.56	1.7725	2	16.4
1	-3	-1	52.49	1.7434	2	2.2
3	-1	-1	52.49	1.7434	2	3.9
1	-3	1	52.49	1.7434	2	3.9
3	-1	1	52.49	1.7434	2	2.2
1	2	-1	52.49	1.7434	2	2.2
2	-3	1	52.49	1.7434	2	3.9
3	-2	-1	52.49	1.7434	2	3.9
2	1	-1	52.49	1.7434	2	2.2
2	-3	-1	52.49	1.7434	2	2.2
3	-2	1	52.49	1.7434	2	2.2
2	1	1	52.49	1.7434	2	3.9
1	2	1	52.49	1.7434	2	3.9
2	0	-3	54.74	1.6768	2	2.2
0	2	-3	54.74	1.6768	2	2.2
2	-2	3	54.74	1.6768	2	2.2
2	-2	-3	54.74	1.6768	2	2.2
2	0	3	54.74	1.6768	2	2.2
0	2	3	54.74	1.6768	2	2.2
1	0	-4	55.31	1.6610	2	1.4
0	1	-4	55.31	1.6610	2	1.4
1	-1	4	55.31	1.6610	2	1.4
1	-1	-4	55.31	1.6610	2	1.4
0	1	4	55.31	1.6610	2	1.4
1	0	4	55.31	1.6610	2	1.4
3	-2	2	57.45	1.6040	2	1.1
1	-3	2	57.45	1.6040	2	2.6
3	-2	-2	57.45	1.6040	2	2.6
1	-3	-2	57.45	1.6040	2	1.1
2	-3	-2	57.45	1.6040	2	1.1
2	-3	2	57.45	1.6040	2	2.6
3	-1	2	57.45	1.6040	2	1.1
1	2	-2	57.45	1.6040	2	1.1
2	1	-2	57.45	1.6040	2	1.1
3	-1	-2	57.45	1.6040	2	2.6
2	1	2	57.45	1.6040	2	2.6
1	2	2	57.45	1.6040	2	2.6
3	-3	0	58.15	1.5863	2	100.4
0	3	0	58.15	1.5863	2	100.4
3	0	0	58.15	1.5863	2	100.4
3	-3	-1	59.74	1.5480	2	23.3
3	-3	1	59.74	1.5480	2	23.3
0	3	-1	59.74	1.5480	2	23.3
3	0	-1	59.74	1.5480	2	23.3
0	3	1	59.74	1.5480	2	23.3
3	0	1	59.74	1.5480	2	23.3
1	-2	4	62.34	1.4894	2	28.2
2	-1	-4	62.34	1.4894	2	28.2
1	1	-4	62.34	1.4894	2	59.4
1	1	4	62.34	1.4894	2	28.2
2	-1	4	62.34	1.4894	2	59.4
1	-2	-4	62.34	1.4894	2	59.4
3	-3	-2	64.34	1.4479	2	22.4
3	-3	2	64.34	1.4479	2	22.4
0	3	-2	64.34	1.4479	2	22.4
3	0	-2	64.34	1.4479	2	22.4
0	3	2	64.34	1.4479	2	22.4
3	0	2	64.34	1.4479	2	22.4
3	-2	-3	65.18	1.4313	2	1.9
3	-1	-3	65.18	1.4313	2	1.9
2	-3	3	65.18	1.4313	2	1.9
1	-3	3	65.18	1.4313	2	1.9
2	1	-3	65.18	1.4313	2	0.3
1	2	-3	65.18	1.4313	2	0.3
3	-1	3	65.18	1.4313	2	0.3
1	-3	-3	65.18	1.4313	2	0.3
2	-3	-3	65.18	1.4313	2	0.3
1	2	3	65.18	1.4313	2	1.9
2	1	3	65.18	1.4313	2	1.9
3	-2	3	65.18	1.4313	2	0.3
2	-2	4	65.69	1.4214	2	2.1
2	0	-4	65.69	1.4214	2	2.1
0	2	-4	65.69	1.4214	2	2.1
2	-2	-4	65.69	1.4214	2	2.1
0	2	4	65.69	1.4214	2	2.1
2	0	4	65.69	1.4214	2	2.1
0	0	5	65.87	1.4180	2	25.8
4	-2	0	68.27	1.3738	2	6.8
2	-4	0	68.27	1.3738	2	6.8
2	2	0	68.27	1.3738	2	6.8
0	1	5	69.12	1.3590	2	0.6
1	0	-5	69.12	1.3590	2	0.6
0	1	-5	69.12	1.3590	2	0.6
1	0	5	69.12	1.3590	2	0.6
1	-1	5	69.12	1.3590	2	0.6
1	-1	-5	69.12	1.3590	2	0.6
4	-2	1	69.72	1.3487	2	42.5
2	-4	-1	69.72	1.3487	2	42.5
2	-4	1	69.72	1.3487	2	9.1
4	-2	-1	69.72	1.3487	2	9.1
2	2	-1	69.72	1.3487	2	42.5
2	2	1	69.72	1.3487	2	9.1
4	-3	0	71.48	1.3199	2	1.7
3	-4	0	71.48	1.3199	2	1.7
4	-1	0	71.48	1.3199	2	1.7
3	1	0	71.48	1.3199	2	1.7
1	3	0	71.48	1.3199	2	1.7
1	-4	0	71.48	1.3199	2	1.7
3	-3	-3	71.65	1.3171	2	9.2
3	-3	3	71.65	1.3171	2	9.2
3	0	-3	71.65	1.3171	2	9.2
0	3	-3	71.65	1.3171	2	9.2
0	3	3	71.65	1.3171	2	9.2
3	0	3	71.65	1.3171	2	9.2
3	-4	-1	72.90	1.2976	2	2.0
4	-3	1	72.90	1.2976	2	2.0
4	-3	-1	72.90	1.2976	2	1.0
3	-4	1	72.90	1.2976	2	1.0
1	3	1	72.90	1.2976	2	1.0
4	-1	1	72.90	1.2976	2	2.0
1	3	-1	72.90	1.2976	2	2.0
3	1	1	72.90	1.2976	2	1.0
4	-1	-1	72.90	1.2976	2	1.0
3	1	-1	72.90	1.2976	2	2.0
1	-4	-1	72.90	1.2976	2	2.0
1	-4	1	72.90	1.2976	2	1.0
4	-2	-2	74.00	1.2809	2	13.0
2	-4	2	74.00	1.2809	2	13.0
2	2	-2	74.00	1.2809	2	9.8
4	-2	2	74.00	1.2809	2	9.8
2	-4	-2	74.00	1.2809	2	9.8
2	2	2	74.00	1.2809	2	13.0
3	-1	-4	75.27	1.2625	2	1.0
1	-3	4	75.27	1.2625	2	1.0
2	1	-4	75.27	1.2625	2	0.2
2	-3	4	75.27	1.2625	2	1.0
1	2	-4	75.27	1.2625	2	0.2
3	-2	-4	75.27	1.2625	2	1.0
2	-3	-4	75.27	1.2625	2	0.2
3	-2	4	75.27	1.2625	2	0.2
3	-1	4	75.27	1.2625	2	0.2
1	-3	-4	75.27	1.2625	2	0.2
2	1	4	75.27	1.2625	2	1.0
1	2	4	75.27	1.2625	2	1.0
1	-2	5	75.44	1.2601	2	5.3
2	-1	-5	75.44	1.2601	2	5.3
1	1	-5	75.44	1.2601	2	22.2
1	1	5	75.44	1.2601	2	5.3
2	-1	5	75.44	1.2601	2	22.2
1	-2	-5	75.44	1.2601	2	22.2
4	-3	2	77.11	1.2369	2	1.6
4	-3	-2	77.11	1.2369	2	0.6
3	-4	2	77.11	1.2369	2	0.6
3	-4	-2	77.11	1.2369	2	1.6
1	-4	2	77.11	1.2369	2	0.6
4	-1	-2	77.11	1.2369	2	0.6
1	3	2	77.11	1.2369	2	0.6
3	1	-2	77.11	1.2369	2	1.6
3	1	2	77.11	1.2369	2	0.6
1	3	-2	77.11	1.2369	2	1.6
4	-1	2	77.11	1.2369	2	1.6
1	-4	-2	77.11	1.2369	2	1.6
0	2	-5	78.52	1.2181	2	1.4
2	0	-5	78.52	1.2181	2	1.4
2	-2	5	78.52	1.2181	2	1.4
2	-2	-5	78.52	1.2181	2	1.4
2	0	5	78.52	1.2181	2	1.4
0	2	5	78.52	1.2181	2	1.4
4	-4	0	80.78	1.1897	2	0.2
0	4	0	80.78	1.1897	2	0.2
4	0	0	80.78	1.1897	2	0.2
2	-4	3	80.94	1.1877	2	4.4
4	-2	-3	80.94	1.1877	2	4.4
2	2	-3	80.94	1.1877	2	28.1
2	2	3	80.94	1.1877	2	4.4
4	-2	3	80.94	1.1877	2	28.1
2	-4	-3	80.94	1.1877	2	28.1
0	3	-4	81.41	1.1820	2	1.6
3	0	-4	81.41	1.1820	2	1.6
3	-3	4	81.41	1.1820	2	1.6
3	-3	-4	81.41	1.1820	2	1.6
3	0	4	81.41	1.1820	2	1.6
0	3	4	81.41	1.1820	2	1.6
0	0	6	81.44	1.1817	2	10.3
4	-4	-1	82.15	1.1733	2	0.2
4	-4	1	82.15	1.1733	2	0.2
4	0	-1	82.15	1.1733	2	0.2
0	4	-1	82.15	1.1733	2	0.2
4	0	1	82.15	1.1733	2	0.2
0	4	1	82.15	1.1733	2	0.2
4	-3	-3	83.98	1.1523	2	0.1
4	-3	3	83.98	1.1523	2	1.4
3	-4	-3	83.98	1.1523	2	1.4
3	-4	3	83.98	1.1523	2	0.1
4	-1	-3	83.98	1.1523	2	0.1
1	3	-3	83.98	1.1523	2	1.4
1	-4	3	83.98	1.1523	2	0.1
3	1	-3	83.98	1.1523	2	1.4
1	-4	-3	83.98	1.1523	2	1.4
3	1	3	83.98	1.1523	2	0.1
4	-1	3	83.98	1.1523	2	1.4
1	3	3	83.98	1.1523	2	0.1
1	-1	6	84.47	1.1468	2	0.2
0	1	-6	84.47	1.1468	2	0.2
1	0	6	84.47	1.1468	2	0.2
0	1	6	84.47	1.1468	2	0.2
1	0	-6	84.47	1.1468	2	0.2
1	-1	-6	84.47	1.1468	2	0.2
4	-4	-2	86.23	1.1279	2	0.3
4	-4	2	86.23	1.1279	2	0.3
4	0	-2	86.23	1.1279	2	0.3
0	4	-2	86.23	1.1279	2	0.3
4	0	2	86.23	1.1279	2	0.3
