H	K	L	2THETA	D-VALUE	MULT	INTENSITY
0	0	1	6.04	14.6261	2	0.0
0	0	2	12.10	7.3131	2	1000.0
0	0	3	18.20	4.8754	2	0.0
1	-1	0	19.24	4.6128	2	138.8
1	1	0	19.24	4.6128	2	138.8
0	2	0	19.30	4.6000	2	141.9
1	-1	-1	19.89	4.4628	2	0.3
1	1	-1	19.89	4.4628	2	0.3
0	2	1	20.24	4.3881	2	0.0
0	2	-1	20.24	4.3881	2	0.0
1	-1	1	20.47	4.3382	2	0.3
1	1	1	20.47	4.3382	2	0.3
1	1	-2	22.27	3.9914	2	82.8
1	-1	-2	22.27	3.9914	2	82.8
0	2	2	22.84	3.8938	2	88.1
0	2	-2	22.84	3.8938	2	88.1
1	1	2	23.30	3.8174	2	78.9
1	-1	2	23.30	3.8174	2	78.9
0	0	4	24.34	3.6565	2	652.2
1	1	-3	25.93	3.4365	2	0.3
1	-1	-3	25.93	3.4365	2	0.3
0	2	-3	26.64	3.3458	2	0.0
0	2	3	26.64	3.3458	2	0.0
1	-1	3	27.26	3.2711	2	0.3
1	1	3	27.26	3.2711	2	0.3
1	1	-4	30.44	2.9369	2	28.4
1	-1	-4	30.44	2.9369	2	28.4
0	0	5	30.56	2.9252	2	0.0
0	2	-4	31.25	2.8624	2	35.8
0	2	4	31.25	2.8624	2	35.8
1	1	4	31.97	2.7990	2	22.6
1	-1	4	31.97	2.7990	2	22.6
2	0	0	33.62	2.6657	2	46.6
1	3	0	33.72	2.6583	2	11.7
1	-3	0	33.72	2.6583	2	11.7
2	0	-1	33.83	2.6492	2	0.0
1	-3	-1	34.11	2.6286	2	0.3
1	3	-1	34.11	2.6286	2	0.3
1	3	1	34.46	2.6024	2	0.1
1	-3	1	34.46	2.6024	2	0.1
2	0	1	34.54	2.5965	2	2.4
2	0	-2	35.17	2.5517	2	31.7
1	1	-5	35.52	2.5274	2	0.1
1	-1	-5	35.52	2.5274	2	0.1
1	-3	-2	35.60	2.5215	2	245.2
1	3	-2	35.60	2.5215	2	245.2
1	-3	2	36.28	2.4758	2	42.0
1	3	2	36.28	2.4758	2	42.0
0	2	-5	36.40	2.4684	2	0.0
0	2	5	36.40	2.4684	2	0.0
2	0	2	36.53	2.4597	2	293.1
0	0	6	36.87	2.4377	2	40.0
1	-1	5	37.20	2.4170	2	0.1
1	1	5	37.20	2.4170	2	0.1
2	0	-3	37.52	2.3971	2	0.3
1	3	-3	38.09	2.3623	2	0.8
1	-3	-3	38.09	2.3623	2	0.8
1	3	3	39.05	2.3065	2	0.1
1	-3	3	39.05	2.3065	2	0.1
2	-2	0	39.05	2.3064	2	3.2
2	2	0	39.05	2.3064	2	3.2
0	4	0	39.17	2.3000	2	3.9
2	-2	-1	39.24	2.2957	2	0.1
2	2	-1	39.24	2.2957	2	0.1
2	0	3	39.44	2.2847	2	2.2
0	4	1	39.67	2.2721	2	0.0
0	4	-1	39.67	2.2721	2	0.0
2	-2	1	39.87	2.2611	2	0.1
2	2	1	39.87	2.2611	2	0.1
2	-2	-2	40.42	2.2314	2	5.1
